relative_path,action,old_head,new_head
amara_full_body_0026.txt,changed,"Amara sitting cross-legged on the beach, her face turned slightly to her left si","yoyoAmara sitting cross-legged on the beach, her face turned slightly to her lef"
amara_full_body_0028.txt,changed,"Amara in a single-piece / one-piece red swimsuit, her large breasts bulging the ","yoyoAmara in a single-piece / one-piece red swimsuit, her large breasts bulging "
amara_full_body_0029.txt,changed,Amara wearing a mid-length pink nightie / dress (her knees and lower legs exclud,yoyoAmara wearing a mid-length pink nightie / dress (her knees and lower legs ex
amara_full_body_0030.txt,changed,Amara in bondage rope (her lower thighs and lower legs excluded from the picture,yoyoAmara in bondage rope (her lower thighs and lower legs excluded from the pic
amara_full_body_0031.txt,changed,Amara - Full-frontal view: Amara is standing in front of a white background. Thi,yoyoAmara - Full-frontal view: Amara is standing in front of a white background.
amara_full_body_0033.txt,changed,Amara's front-view: Amara smiling. Her body is default - This is how her body lo,yoyoAmara's front-view: Amara smiling. Her body is default - This is how her bod
amara_full_body_0034.txt,changed,"Amara's left-front body: She has a sultry expression, and has a bedsheet draped ","yoyoAmara's left-front body: She has a sultry expression, and has a bedsheet dra"
amara_full_body_0035.txt,changed,"Amara's upper body and face: She is smiling a little, and is wearing a black tan","yoyoAmara's upper body and face: She is smiling a little, and is wearing a black"
amara_full_body_0037.txt,changed,Amara kneeling: Her expression is sultry. She is wearing a one-piece lingerie se,yoyoAmara kneeling: Her expression is sultry. She is wearing a one-piece lingeri
amara_full_body_0038.txt,changed,Amara kneeling on the bed. Her expression is sultry. Her body is default. Her va,yoyoAmara kneeling on the bed. Her expression is sultry. Her body is default. He
amara_full_body_0039.txt,changed,"Amara standing outdoors, smiling. Her body is default. Her vagina is almost clea","yoyoAmara standing outdoors, smiling. Her body is default. Her vagina is almost "
amara_full_body_0040.txt,changed,"Amara outdoors. She is wearing a dark blue jeans, and a pop-out bra made of jute","yoyoAmara outdoors. She is wearing a dark blue jeans, and a pop-out bra made of "
amara_full_body_0041.txt,changed,Amara standing outdoors. Her expression is mild sultry. This is her perfect defa,yoyoAmara standing outdoors. Her expression is mild sultry. This is her perfect 
amara_full_body_0044.txt,changed,Amara with a very slight smirk. This is her default body: Gorgeous!,yoyoAmara with a very slight smirk. This is her default body: Gorgeous!
amara_full_body_0045.txt,changed,"Amara standing outdoors in the parking lot. Her expression is a mild, subtle smi","yoyoAmara standing outdoors in the parking lot. Her expression is a mild, subtle"
amara_full_body_0046.txt,changed,Amara standing outdoors. A thin patterned cloth is draped over her shoulders.,yoyoAmara standing outdoors. A thin patterned cloth is draped over her shoulders
amara_full_body_0047.txt,changed,Amara: View from overhead high-angle.,yoyoAmara: View from overhead high-angle.
amara_full_body_0048.txt,changed,Amara standing outdoors. Her expression is a very slight smirk.,yoyoAmara standing outdoors. Her expression is a very slight smirk.
amara_full_body_0049.txt,changed,Amara sitting on a bench in a balcony. Her breasts are looking almost perfect. S,yoyoAmara sitting on a bench in a balcony. Her breasts are looking almost perfec
amara_full_body_0050.txt,changed,"Amara on the deck of a ship, her hand on the railing. This is Amara's default bo","yoyoAmara on the deck of a ship, her hand on the railing. This is Amara's defaul"
amara_full_body_0051.txt,changed,"Amara kneeling on a bed, her expression neutral, one hand on her left thigh - su","yoyoAmara kneeling on a bed, her expression neutral, one hand on her left thigh "
amara_full_body_0052.txt,changed,Amara standing on a balcony overlooking the bay-area - Low-angle view. She has a,yoyoAmara standing on a balcony overlooking the bay-area - Low-angle view. She h
amara_full_body_0053.txt,changed,Amara standing on a balcony overlooking the bay-area - Low-angle view. She has a,yoyoAmara standing on a balcony overlooking the bay-area - Low-angle view. She h
amara_full_body_0054.txt,changed,"Amara kneedling on the floor - Low-angle view, a white semi-sheer garment draped","yoyoAmara kneedling on the floor - Low-angle view, a white semi-sheer garment dr"
amara_full_body_0056.txt,changed,"Amara standing outdoors, by the sea. Her expression a very slight smile.","yoyoAmara standing outdoors, by the sea. Her expression a very slight smile."
amara_full_body_0057.txt,changed,Amara making a pose while standing on a stone ledge. Her expression mildly amusi,yoyoAmara making a pose while standing on a stone ledge. Her expression mildly a
amara_full_body_0058.txt,changed,"Amara sitting cross-legged on the bed, her expression mildly sultry.","yoyoAmara sitting cross-legged on the bed, her expression mildly sultry."
amara_full_body_0060.txt,changed,"Amara standing in the street, her left arm tucked behind her left breast.","yoyoAmara standing in the street, her left arm tucked behind her left breast."
amara_full_body_0061.txt,changed,Amara standing outdoors: View of her left-side. Amara's breasts looking good and,yoyoAmara standing outdoors: View of her left-side. Amara's breasts looking good
amara_full_body_0062.txt,changed,Amara with a very slight smirk. This is her default body: Gorgeous!,yoyoAmara with a very slight smirk. This is her default body: Gorgeous!
amara_full_body_0063.txt,changed,Amara kneeling in the wild. She is wearing a silver strap around her stomach.,yoyoAmara kneeling in the wild. She is wearing a silver strap around her stomach
amara_full_body_0064.txt,changed,Amara smiling lightly while outdoors.,yoyoAmara smiling lightly while outdoors.
amara_full_body_0065.txt,changed,Amara posing in the doorway with a slightly sultry expression. Her body looks pe,yoyoAmara posing in the doorway with a slightly sultry expression. Her body look
amara_full_body_0066.txt,changed,"Amara wearing a hat and heels, and standing in a museum.","yoyoAmara wearing a hat and heels, and standing in a museum."
amara_full_body_0067.txt,changed,"Amara standing in the street: She is wearing a pop-out bra made of jute, and lig","yoyoAmara standing in the street: She is wearing a pop-out bra made of jute, and"
amara_full_body_0068.txt,changed,Amara in the hills. Her vagina is lightly hairy.,yoyoAmara in the hills. Her vagina is lightly hairy.
amara_full_body_0069.txt,changed,"Amara standing in the street, her expression a very gentle smile.","yoyoAmara standing in the street, her expression a very gentle smile."
amara_full_body_0070.txt,changed,"Amara standing in the street, her hands holding something: View of her left-fron","yoyoAmara standing in the street, her hands holding something: View of her left-"
amara_full_body_0072.txt,changed,Amara outdoors. She is looking down and playing with a string between her hands.,yoyoAmara outdoors. She is looking down and playing with a string between her ha
amara_full_body_0073.txt,changed,Amara looking worried and angry. She is wearing a hat and riding a bicycle on th,yoyoAmara looking worried and angry. She is wearing a hat and riding a bicycle o
amara_full_body_0074.txt,changed,"Amara with her bad-bitch expression, wearing a zebra top outdoors.","yoyoAmara with her bad-bitch expression, wearing a zebra top outdoors."
amara_full_body_0075.txt,changed,"Amara on the bed, wearing a pink night dress. Her expression is a light subtle s","yoyoAmara on the bed, wearing a pink night dress. Her expression is a light subt"
amara_full_body_0077.txt,changed,"Amara sitting cross-legged on the beach, looking down and with her face turned t","yoyoAmara sitting cross-legged on the beach, looking down and with her face turn"
amara_full_body_0078.txt,changed,Amara standing on a rooftop. This is a picture of young Amara - from a few years,yoyoAmara standing on a rooftop. This is a picture of young Amara - from a few y
amara_full_body_0079.txt,changed,Amara standing on a ship deck: View of her left-front body. She has a sultry exp,yoyoAmara standing on a ship deck: View of her left-front body. She has a sultry
amara_full_body_0081.txt,changed,"Amara standing in the street. Her head is tilted to her right side, and she is l","yoyoAmara standing in the street. Her head is tilted to her right side, and she "
amara_full_body_0082.txt,changed,"Amara: Default body. She is looking gorgeous - Large breasts, wide hips, subtle ","yoyoAmara: Default body. She is looking gorgeous - Large breasts, wide hips, sub"
amara_full_body_0083.txt,changed,"Amara: Default body. She is looking gorgeous - Large breasts, wide hips, subtle ","yoyoAmara: Default body. She is looking gorgeous - Large breasts, wide hips, sub"
amara_full_body_0085.txt,changed,"Amara: Full-body shot. She has a warm, flirtatious, inviting smile.","yoyoAmara: Full-body shot. She has a warm, flirtatious, inviting smile."
amara_full_body_0086.txt,changed,Amara: Full-body shot. She is looking slightly down at the camera with a neutral,yoyoAmara: Full-body shot. She is looking slightly down at the camera with a neu
amara_full_body_0087.txt,changed,"Amara: Full-body shot. She is looking confident, warm and very sexy.","yoyoAmara: Full-body shot. She is looking confident, warm and very sexy."
amara_headshot_0009.txt,changed,"Amara with a homely expression, a slight smile. She is looking directly into the","yoyoAmara with a homely expression, a slight smile. She is looking directly into"
amara_headshot_0010.txt,changed,Amara with a slight smile. She is looking at the camera. Her head is partially t,yoyoAmara with a slight smile. She is looking at the camera. Her head is partial
amara_headshot_0011.txt,changed,Amara with a bad-bitch expression. Her head is tilted very slightly to her right,yoyoAmara with a bad-bitch expression. Her head is tilted very slightly to her r
amara_headshot_0014.txt,changed,"Amara with a slight, cute smile. Her head is tilted and turned a little to her r","yoyoAmara with a slight, cute smile. Her head is tilted and turned a little to h"
amara_headshot_0015.txt,changed,"Amara with a neutral but slightly sultry expression, her head tilted to her righ","yoyoAmara with a neutral but slightly sultry expression, her head tilted to her "
amara_headshot_0020.txt,changed,"Amara looking at the camera with a very, very subtle smile. Her face is tilted a","yoyoAmara looking at the camera with a very, very subtle smile. Her face is tilt"
amara_headshot_0021.txt,changed,Amara with a slightly sultry and smiling expression. Her face is tilted to her r,yoyoAmara with a slightly sultry and smiling expression. Her face is tilted to h
amara_headshot_0022.txt,changed,Amara with a subtle smirk on her face. Her face is tilted and turned slightly to,yoyoAmara with a subtle smirk on her face. Her face is tilted and turned slightl
amara_headshot_0024.txt,changed,Amara turning back with a slightly wide-eyed expression.,yoyoAmara turning back with a slightly wide-eyed expression.
amara_headshot_0027.txt,changed,Amara with a no-fucks-given expression. Her face is turned a little to her right,yoyoAmara with a no-fucks-given expression. Her face is turned a little to her r
amara_headshot_0028.txt,changed,Amara with a subtle flirtacious smile. Her face is tilted and turned a little to,yoyoAmara with a subtle flirtacious smile. Her face is tilted and turned a littl
amara_headshot_0029.txt,changed,Amara with a neutral expression.,yoyoAmara with a neutral expression.
amara_headshot_0032.txt,changed,Amara with a slight smile and a slight smirk. Her head is tilted very slightly t,yoyoAmara with a slight smile and a slight smirk. Her head is tilted very slight
amara_headshot_0033.txt,changed,Amara with a slight cute smile. Her head is tilted very lightly to her right.,yoyoAmara with a slight cute smile. Her head is tilted very lightly to her right
amara_headshot_0035.txt,changed,Amara with a sultry expression. Her head is tilted a little to her right.,yoyoAmara with a sultry expression. Her head is tilted a little to her right.
amara_headshot_0036.txt,changed,Amara with a slight smirk. Her head is tilted a little to her right side.,yoyoAmara with a slight smirk. Her head is tilted a little to her right side.
amara_headshot_0037.txt,changed,Amara with a smartass smile. Her face is turned to her right side.,yoyoAmara with a smartass smile. Her face is turned to her right side.
amara_headshot_0038.txt,changed,Amara with a cute and naughty smile. Her face is tilted to her right side.,yoyoAmara with a cute and naughty smile. Her face is tilted to her right side.
amara_headshot_0039.txt,changed,Amara with a very subtle sultry expression. Her head is tilted very slightly to ,yoyoAmara with a very subtle sultry expression. Her head is tilted very slightly
amara_headshot_0040.txt,changed,Amara with a slight sultry expression. Her face is turned a little to her right ,yoyoAmara with a slight sultry expression. Her face is turned a little to her ri
amara_headshot_0041.txt,changed,Amara with a slight slutty look. Her face is tilted and turned very little to he,yoyoAmara with a slight slutty look. Her face is tilted and turned very little t
amara_headshot_0043.txt,changed,Amara with a very subtle smile and a very subtle smirk. Her head is tilted and t,yoyoAmara with a very subtle smile and a very subtle smirk. Her head is tilted a
amara_headshot_0044.txt,changed,Amara with a homely look. Her head is tilted to her right side.,yoyoAmara with a homely look. Her head is tilted to her right side.
amara_headshot_0045.txt,changed,Amara with a neutral expression. Her head is tilted slightly to her right side.,yoyoAmara with a neutral expression. Her head is tilted slightly to her right si
amara_headshot_0048.txt,changed,Amara with a neutral expression. Her face is tilted and turned very slightly to ,yoyoAmara with a neutral expression. Her face is tilted and turned very slightly
amara_headshot_0049.txt,changed,Amara with a very subtle smirk. Her face is upright and looking straight at the ,yoyoAmara with a very subtle smirk. Her face is upright and looking straight at 
amara_headshot_0050.txt,changed,Amara with a slightly loving look. Her head is tilted very slightly to her right,yoyoAmara with a slightly loving look. Her head is tilted very slightly to her r
amara_headshot_0051.txt,changed,Amara with a very subtle smirk. Her face is tilted very slightly to her right si,yoyoAmara with a very subtle smirk. Her face is tilted very slightly to her righ
amara_headshot_0052.txt,changed,Amara with a neutral expression. Her face is tilted and turned very slightly to ,yoyoAmara with a neutral expression. Her face is tilted and turned very slightly
amara_headshot_0053.txt,changed,"Amara with a wide-eyed neutral expression. Her face is tilted very, very slightl","yoyoAmara with a wide-eyed neutral expression. Her face is tilted very, very sli"
amara_headshot_0055.txt,changed,Amara with a very subtle smirk. Her face is tilted and turned very slightly to h,yoyoAmara with a very subtle smirk. Her face is tilted and turned very slightly 
amara_headshot_0056.txt,changed,Amara with a very subtle smirk. Her face is tilted and turned very slightly to h,yoyoAmara with a very subtle smirk. Her face is tilted and turned very slightly 
amara_headshot_0057.txt,changed,Amara with a neutral expression. Her face is slightly turned to her right.,yoyoAmara with a neutral expression. Her face is slightly turned to her right.
amara_headshot_0058.txt,changed,Amara turning back to look at the camera with a slightly sultry expression.,yoyoAmara turning back to look at the camera with a slightly sultry expression.
amara_headshot_0060.txt,changed,Amara with a slight smile. Her head is tilted slightly to her right side.,yoyoAmara with a slight smile. Her head is tilted slightly to her right side.
amara_headshot_0062.txt,changed,Amara with a very subtle sultry expression. Her head is tilted very slightly to ,yoyoAmara with a very subtle sultry expression. Her head is tilted very slightly
amara_headshot_0064.txt,changed,Amara with an almost neutral expression. Her face is tilted and turned slightly ,yoyoAmara with an almost neutral expression. Her face is tilted and turned sligh
amara_headshot_0066.txt,changed,Amara with a very subtle smile. Her face is tilted very slightly to her right si,yoyoAmara with a very subtle smile. Her face is tilted very slightly to her righ
amara_headshot_0068.txt,changed,Amara with a shocked and afraid expresion. Her face is turned towards her right.,yoyoAmara with a shocked and afraid expresion. Her face is turned towards her ri
amara_headshot_0069.txt,changed,"Amara with a smile. She is looking down. Her face is turned slightly downwards, ",yoyoAmara with a smile. She is looking down. Her face is turned slightly downwar
amara_headshot_0070.txt,changed,Amara with a very subtle sultry expression. Her head is tilted slightly to her r,yoyoAmara with a very subtle sultry expression. Her head is tilted slightly to h
amara_headshot_0071.txt,changed,Amara with a slightly sultry but largely neutral expression. Her head is tilted ,yoyoAmara with a slightly sultry but largely neutral expression. Her head is til
amara_headshot_0072.txt,changed,"Amara with a slight endearing smile. Her face is lifted very slightly upwards, a",yoyoAmara with a slight endearing smile. Her face is lifted very slightly upward
amara_headshot_0073.txt,changed,"Amara with a very slight sultry, but largely neutral expression. Her face is eve","yoyoAmara with a very slight sultry, but largely neutral expression. Her face is"
amara_headshot_0074.txt,changed,Amara with a slight cute and homely smile. Her head is tilted and turned very sl,yoyoAmara with a slight cute and homely smile. Her head is tilted and turned ver
amara_headshot_0077.txt,changed,"Amara with a very slight smile, but largely helpless expression. Her head is ver","yoyoAmara with a very slight smile, but largely helpless expression. Her head is"
amara_headshot_0079.txt,changed,"Amara with a very subtle smile. Her face is turned very slightly downwards, and ","yoyoAmara with a very subtle smile. Her face is turned very slightly downwards, "
amara_headshot_0080.txt,changed,"Amara with a neutral, bored expression. Her face is tilted and turned slightly t","yoyoAmara with a neutral, bored expression. Her face is tilted and turned slight"
amara_headshot_0081.txt,changed,"Amara with a small smile, her head tilted very slightly to her right side.","yoyoAmara with a small smile, her head tilted very slightly to her right side."
amara_headshot_0082.txt,changed,"Amara with an upright face, and a very faint smile.","yoyoAmara with an upright face, and a very faint smile."
amara_headshot_0084.txt,changed,Amara with cute but naughty smile. Her head is tilted and turned slightly to her,yoyoAmara with cute but naughty smile. Her head is tilted and turned slightly to
amara_headshot_0085.txt,changed,Amara with a bad-bitch expression. Her face is turned very slightly to her right,yoyoAmara with a bad-bitch expression. Her face is turned very slightly to her r
amara_headshot_0089.txt,changed,"Amara with a neutral expression, looking into the distance. Her face is turned t","yoyoAmara with a neutral expression, looking into the distance. Her face is turn"
amara_headshot_0091.txt,changed,"Amara with a subtle smile, her face turned to her left side.","yoyoAmara with a subtle smile, her face turned to her left side."
amara_headshot_0094.txt,changed,Amara with a smile. Her head is titled very slightly to her right.,yoyoAmara with a smile. Her head is titled very slightly to her right.
amara_headshot_0097.txt,changed,"Amara about to take a bite, her expression very slightly amazed.","yoyoAmara about to take a bite, her expression very slightly amazed."
amara_headshot_0099.txt,changed,"Amara with a sultry expression. Her head is tilted slightly backwards, and her f","yoyoAmara with a sultry expression. Her head is tilted slightly backwards, and h"
amara_headshot_0101.txt,changed,Amara with a slightly sultry look. Her face is very slightly turned and tilted t,yoyoAmara with a slightly sultry look. Her face is very slightly turned and tilt
amara_headshot_0102.txt,changed,"Amara with a very slight sultry expression. Her head is tilted and turned very, ",yoyoAmara with a very slight sultry expression. Her head is tilted and turned ve
amara_headshot_0103.txt,changed,"Amara with a very subtle sultry expression. Her head is tilted and turned very, ",yoyoAmara with a very subtle sultry expression. Her head is tilted and turned ve
amara_headshot_0106.txt,changed,Amara with a cute and subtle smile. Her face is tilted very slightly to her righ,yoyoAmara with a cute and subtle smile. Her face is tilted very slightly to her 
amara_headshot_0109.txt,changed,Amara with a slightly angry expression. Her face is looking almost straight.,yoyoAmara with a slightly angry expression. Her face is looking almost straight.
amara_headshot_0111.txt,changed,Amara with a determined look. Her face is turned to her right.,yoyoAmara with a determined look. Her face is turned to her right.
amara_headshot_0113.txt,changed,Amara with a small smile. Hre face is very slightly tilted and turned to her rig,yoyoAmara with a small smile. Hre face is very slightly tilted and turned to her
amara_headshot_0114.txt,changed,Amara with a neutral expression. Her face is turned a little to her right.,yoyoAmara with a neutral expression. Her face is turned a little to her right.
amara_headshot_0116.txt,changed,Amara with a sultry expression. Her head is tilted to her right. She is looking ,yoyoAmara with a sultry expression. Her head is tilted to her right. She is look
amara_headshot_0117.txt,changed,Amara with a very subtle smirk on her face. Her head is tilted and turned very s,yoyoAmara with a very subtle smirk on her face. Her head is tilted and turned ve
amara_headshot_0118.txt,changed,Amara: Headshot. She has a fiery look in her eyes.,yoyoAmara: Headshot. She has a fiery look in her eyes.
amara_headshot_0119.txt,changed,"Amara: Headshot. She has a cute, homely smile.","yoyoAmara: Headshot. She has a cute, homely smile."
amara_headshot_0120.txt,changed,"Amara: Headshot. She has a warm, homely smile.","yoyoAmara: Headshot. She has a warm, homely smile."
amara_headshot_0121.txt,changed,Amara: Headshot. She has a neutral but determined expression.,yoyoAmara: Headshot. She has a neutral but determined expression.
amara_headshot_0122.txt,changed,Amara: Headshot. She has a neutral expression.,yoyoAmara: Headshot. She has a neutral expression.
amara_headshot_0123.txt,changed,Amara: Headshot. She has a neutral expression.,yoyoAmara: Headshot. She has a neutral expression.
amara_headshot_0124.txt,changed,Amara: Headshot. She has a neutral expression.,yoyoAmara: Headshot. She has a neutral expression.
amara_headshot_0125.txt,changed,Amara: Headshot. She is crying and has a hurt expression.,yoyoAmara: Headshot. She is crying and has a hurt expression.
amara_headshot_0126.txt,changed,Amara: Headshot. She has a confident and suave expression.,yoyoAmara: Headshot. She has a confident and suave expression.
amara_headshot_0127.txt,changed,Amara: Headshot. She has a subtle warm smile.,yoyoAmara: Headshot. She has a subtle warm smile.
amara_headshot_0128.txt,changed,Amara: Headshot. Her eyes are looking to her left. She has a slightly naughty ex,yoyoAmara: Headshot. Her eyes are looking to her left. She has a slightly naught
amara_headshot_0129.txt,changed,"Amara: Headshot. She has a feisty expression. Amara's eyes are looking upwards, ",yoyoAmara: Headshot. She has a feisty expression. Amara's eyes are looking upwar
amara_headshot_0130.txt,changed,Amara: Headshot. She has a neutral expression.,yoyoAmara: Headshot. She has a neutral expression.
amara_headshot_0132.txt,changed,Amara: Headshot. She has a neutral expression.,yoyoAmara: Headshot. She has a neutral expression.
amara_medium_body_0001.txt,changed,Amara with a slight smile. Her face turned slightly upwards and to her right.,yoyoAmara with a slight smile. Her face turned slightly upwards and to her right
amara_medium_body_0002.txt,changed,Amara in a shallow water body. Her face turned slightly upwards and to her right,yoyoAmara in a shallow water body. Her face turned slightly upwards and to her r
amara_medium_body_0003.txt,changed,"Amara with a small smile, wearing a white body-fitting white dress. She is stand","yoyoAmara with a small smile, wearing a white body-fitting white dress. She is s"
amara_medium_body_0004.txt,changed,"Amara with a small smile, wearing white body-fitting clothes.","yoyoAmara with a small smile, wearing white body-fitting clothes."
amara_medium_body_0005.txt,changed,"Amara sitting in the desert, wearing colorful blue shorts. She has a neutral exp","yoyoAmara sitting in the desert, wearing colorful blue shorts. She has a neutral"
amara_medium_body_0006.txt,changed,"Amara with a very subtle smile, holding a off-white scarf with brown patches beh","yoyoAmara with a very subtle smile, holding a off-white scarf with brown patches"
amara_medium_body_0007.txt,changed,"Amara standing on a low-rooftop, with a sheer chiffon cloth draped over her head","yoyoAmara standing on a low-rooftop, with a sheer chiffon cloth draped over her "
amara_medium_body_0009.txt,changed,"Amara turning back to look at the camera, her right hand crossing in fron of her","yoyoAmara turning back to look at the camera, her right hand crossing in fron of"
amara_medium_body_0010.txt,changed,"Amara with a very determined expression on her face, her head turned to her righ","yoyoAmara with a very determined expression on her face, her head turned to her "
amara_medium_body_0011.txt,changed,"Amara standing in the middle of the street, her expression a subtle smile, her f","yoyoAmara standing in the middle of the street, her expression a subtle smile, h"
amara_medium_body_0012.txt,changed,"Amara standing in the middle of the street, her expression a very subtle smile, ","yoyoAmara standing in the middle of the street, her expression a very subtle smi"
amara_medium_body_0013.txt,changed,"Amara in the middle of taking a bite of food, her expression very slightly shock","yoyoAmara in the middle of taking a bite of food, her expression very slightly s"
amara_medium_body_0014.txt,changed,Amara: Medium-body shot. She is looking with a neutral expression.,yoyoAmara: Medium-body shot. She is looking with a neutral expression.
amara_medium_body_0015.txt,changed,"Amara: Medium-body shot. She is turning back to look at the camera with a warm, ",yoyoAmara: Medium-body shot. She is turning back to look at the camera with a wa
amara_medium_body_0016.txt,changed,Amara: Medium-body shot. She is standing in a swimming pool and crying. Her eyes,yoyoAmara: Medium-body shot. She is standing in a swimming pool and crying. Her 
amara_medium_body_0017.txt,changed,Amara: Medium-body shot. She has a confident and naughty expression.,yoyoAmara: Medium-body shot. She has a confident and naughty expression.
amara_medium_body_0018.txt,changed,"Amara: Medium-body shot. Amara has a calm expression, and is looking down, a lit","yoyoAmara: Medium-body shot. Amara has a calm expression, and is looking down, a"
amara_medium_body_0019.txt,changed,Amara: Medium-body shot. She is looking at the camera with a soft but confident ,yoyoAmara: Medium-body shot. She is looking at the camera with a soft but confid
amara_medium_body_0020.txt,changed,Amara: Medium-body shot. She has a confident and slightly intelligent expression,yoyoAmara: Medium-body shot. She has a confident and slightly intelligent expres
